"id","table_name","table_type","importance","active"
"1","competitions","history","4","1"
"2","continents","structure","2","1"
"3","countries","history","2","1"
"4","dream_teams","history","7","1"
"5","hall_teams","hall","3","1"
"6","matches","hall","2","1"
"7","news","site","2","1"
"8","people","hall","1","1"
"9","people_positions","tags","2","1"
"10","people_votes","polls","2","1"
"11","polls","polls","1","1"
"12","stories","history","6","1"
"13","tables","structure","1","1"
"14","positions","structure","3","1"
"15","teams","history","3","1"
"16","tournaments","history","5","1"
"17","tag_list","tags","1","1"
"18","people_matches","tags","3","1"
"19","people_teams","tags","4","1"
"20","people_dream","tags","5","1"
"21","tournament_teams","tags","6","1"
"22","teams_matches","tags","7","1"
"23","goals","tags","8","1"
"24","users","site","1","1"
"26","match_votes","polls","3","1"
"27","team_votes","polls","4","1"
