2,1,1934,1934 World Cup,ITA,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL
3,1,1938,1938 World Cup,FRA,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,15,NULL,NULL,NULL,NULL
4,1,1950,1950 World Cup,BRA,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,13,NULL,NULL,NULL,NULL
5,1,1954,1954 World Cup,SUI,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL
6,1,1958,1958 World Cup,SWE,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL
7,1,1962,1962 World Cup,CHI,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL
8,1,1966,1966 World Cup,ENG,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL
9,1,1970,1970 World Cup,MEX,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL
10,1,1974,1974 World Cup,FRG,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL
11,1,1978,1978 World Cup,ARG,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL
12,1,1982,1982 World Cup,ESP,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,24,NULL,NULL,NULL,NULL
13,1,1986,1986 World Cup,MEX,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,24,NULL,NULL,NULL,NULL
14,1,1990,1990 World Cup,ITA,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,24,NULL,NULL,NULL,NULL
15,1,1994,1994 World Cup,USA,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,24,NULL,NULL,NULL,NULL
16,1,1998,1998 World Cup,FRA,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,32,NULL,NULL,NULL,NULL
17,1,2002,2002 World Cup,KOR,JPN,NULL,NULL,1,0,NULL,NULL,NULL,0,32,NULL,NULL,NULL,NULL
18,1,2006,2006 World Cup,GER,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,32,NULL,NULL,NULL,NULL
19,1,2010,2010 World Cup,RSA,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,32,NULL,NULL,NULL,NULL
20,1,2014,2014 World Cup,BRA,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,32,NULL,NULL,NULL,NULL
21,1,2018,2018 World Cup,RUS,NULL,NULL,NULL,1,0,NULL,NULL,NULL,0,32,NULL,NULL,NULL,NULL
22,1,2022,2022 World Cup,QAT,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,32,NULL,NULL,NULL,NULL
23,1,2026,2026 World Cup,CAN,MEX,USA,NULL,0,0,NULL,NULL,NULL,0,48,NULL,NULL,NULL,NULL
